"","Participant","Hours_In_Study","Total_16S","Lactobacillus_crispatus","Lactobacillus_jensenii","Lactobacillus_iners","Gardnerella_vaginalis","Megasphaera","BVAB2","Atopobium_vaginae"
"2323",5,739,1.32e+10,1010,91600000,1.08e+10,93.8,93.8,93.8,93.8
"2326",5,762,8.45e+09,93.8,1.08e+08,4.74e+09,453,93.8,93.8,93.8
"2329",5,786,7.17e+09,93.8,1.67e+08,4.55e+09,93.8,93.8,93.8,93.8
"2332",5,811,9.2e+09,93.8,2.65e+08,5.92e+09,93.8,93.8,93.8,93.8
"2335",5,834,9.87e+09,93.8,1.5e+08,6.75e+09,93.8,93.8,93.8,93.8
"2338",5,858,5.25e+09,93.8,46100000,7.55e+09,93.8,93.8,93.8,93.8
"2341",5,882,3.97e+09,93.8,1.6e+07,2.69e+09,93.8,93.8,93.8,93.8
"2344",5,906,2.31e+09,93.8,3670000,1.28e+09,93.8,93.8,93.8,93.8
"2346",5,932,7.8e+09,93.8,21600000,5.08e+09,93.8,93.8,93.8,93.8
"2349",5,954,1.07e+10,93.8,8450000,1.01e+10,93.8,93.8,93.8,93.8
"2352",5,978,2.56e+10,93.8,1e+07,1.62e+10,93.8,93.8,93.8,93.8
"2355",5,1001,1.12e+10,93.8,6180000,6.85e+09,93.8,93.8,93.8,93.8
"2358",5,1026,4.91e+09,93.8,12300000,3.07e+09,93.8,93.8,93.8,93.8
"2361",5,1050,8.07e+09,93.8,36300000,5.62e+09,93.8,93.8,93.8,93.8
"2363",5,1075,1.06e+10,93.8,13900000,7.56e+09,93.8,93.8,93.8,93.8
"2365",5,1103,1.61e+10,93.8,9510000,9.4e+09,93.8,93.8,93.8,93.8
"2368",5,1125,5.59e+09,93.8,8900000,3.08e+09,93.8,93.8,93.8,93.8
"2371",5,1146,6.49e+09,93.8,22400000,3.34e+09,93.8,93.8,93.8,93.8
"2374",5,1169,4.82e+09,93.8,45800000,3.31e+09,93.8,93.8,93.8,93.8
"2376",5,1196,7.4e+09,93.8,1.11e+08,3.53e+09,93.8,93.8,93.8,93.8
"2379",5,1219,6.08e+09,93.8,1.96e+08,3.46e+09,93.8,93.8,93.8,93.8
"2382",5,1243,1.4e+10,93.8,2.94e+08,7.93e+09,93.8,93.8,93.8,93.8
"2385",5,1268,1.01e+10,93.8,24700000,5.02e+09,93.8,93.8,93.8,93.8
"2388",5,1292,1.38e+10,93.8,18800000,7.37e+09,93.8,93.8,93.8,93.8
"2391",5,1313,1.29e+10,93.8,1.77e+08,9.1e+09,93.8,93.8,93.8,93.8
"1758",6,0,2.06e+10,1.64e+09,1.43e+08,8.28e+09,279,93.8,93.8,93.8
"1759",6,17,8.5e+09,8.1e+08,29900000,6.38e+09,93.8,93.8,93.8,93.8
"1762",6,43,1.02e+10,1.12e+09,72500000,9.43e+09,93.8,93.8,93.8,93.8
"1765",6,64,3.28e+09,7.22e+08,40500000,2.38e+09,93.8,93.8,93.8,93.8
"1768",6,89,8.39e+08,6.39e+08,1.4e+07,3.54e+08,93.8,93.8,93.8,93.8
"1771",6,115,9.05e+08,3.97e+08,10300000,2.1e+08,93.8,93.8,93.8,93.8
"1774",6,136,23500000,1100000,374000,6510000,6340,93.8,93.8,93.8
"1777",6,160,1.06e+09,37700000,12700000,9.3e+08,2380000,93.8,93.8,12300
"1780",6,184,1.18e+10,1.64e+08,37500000,6.57e+09,3.27e+08,93.8,93.8,656000
"1783",6,208,8.94e+09,1.61e+08,27300000,5.96e+09,3.65e+08,93.8,93.8,38600000
"1786",6,235,7.98e+09,4.72e+08,35200000,5.69e+09,1.48e+08,93.8,93.8,7640000
"1789",6,250,1.05e+08,2660000,2890000,70200000,93.8,93.8,93.8,93.8
"1792",6,280,18200000,9840,46500,467000,93.8,93.8,93.8,93.8
"1795",6,307,1040000,240000,27000,757000,1080,93.8,93.8,93.8
"1798",6,328,29800000,51100,43800,290000,93.8,93.8,93.8,93.8
"1801",6,352,1.87e+09,17600000,84300000,2.12e+09,93.8,93.8,93.8,368
"1804",6,377,4.29e+08,19200000,22200000,4.41e+08,93.8,93.8,93.8,93.8
